Belém de São Francisco,,,,,,,
Iguaraci,,,,,,,
São Vicente Ferrer,,,,,,,
Abreu e Lima,Abreu e Lima,RMR,2600054,6,-7.8797,-35.0191,BRASIL/PERNAMBUCO/Abreu e Lima
Afogados da Ingazeira,Afogados da Ingazeira,SERTÃO DO PAJEÚ,2600104,11,-7.7371,-37.62,BRASIL/PERNAMBUCO/Afogados da Ingazeira
Afrânio,Afrânio,SERTÃO DO SÃO FRANCISCO,2600203,12,-8.6189,-41.0054,BRASIL/PERNAMBUCO/Afrânio
Água Preta,Água Preta,MATA SUL,2600401,5,-8.7288,-35.4818,BRASIL/PERNAMBUCO/Água Preta
Águas Belas,Águas Belas,AGRESTE MERIDIONAL,2600500,2,-9.087,-37.0386,BRASIL/PERNAMBUCO/Águas Belas
Aliança,Aliança,MATA NORTE,2600708,4,-7.6026,-35.193,BRASIL/PERNAMBUCO/Aliança
Amaraji,Amaraji,MATA SUL,2600906,5,-8.3654,-35.4657,BRASIL/PERNAMBUCO/Amaraji
Araçoiaba,Araçoiaba,RMR,2601052,6,-7.7932,-35.0761,BRASIL/PERNAMBUCO/Araçoiaba
Araripina,Araripina,SERTÃO DO ARARIPE,2601102,9,-7.6079,-40.4848,BRASIL/PERNAMBUCO/Araripina
Barra de Guabiraba,Barra de Guabiraba,AGRESTE CENTRAL,2601300,1,-8.4164,-35.6321,BRASIL/PERNAMBUCO/Barra de Guabiraba
Barreiros,Barreiros,MATA SUL,2601409,5,-8.8202,-35.2586,BRASIL/PERNAMBUCO/Barreiros
Belém de Maria,Belém de Maria,MATA SUL,2601508,5,-8.6051,-35.8151,BRASIL/PERNAMBUCO/Belém de Maria
Belém do São Francisco,Belém do São Francisco,SERTÃO DE ITAPARICA,2601607,8,-8.5836,-38.9819,BRASIL/PERNAMBUCO/Belém do São Francisco
Belo Jardim,Belo Jardim,AGRESTE CENTRAL,2601706,1,-8.2589,-36.4052,BRASIL/PERNAMBUCO/Belo Jardim
Bodocó,Bodocó,SERTÃO DO ARARIPE,2602001,9,-7.6564,-39.9651,BRASIL/PERNAMBUCO/Bodocó
Bonito,Bonito,AGRESTE CENTRAL,2602308,1,-8.4955,-35.7075,BRASIL/PERNAMBUCO/Bonito
Brejo da Madre de Deus,Brejo da Madre de Deus,AGRESTE CENTRAL,2602605,1,-8.0756,-36.2814,BRASIL/PERNAMBUCO/Brejo da Madre de Deus
Buenos Aires,Buenos Aires,MATA NORTE,2602704,4,-7.7379,-35.3472,BRASIL/PERNAMBUCO/Buenos Aires
Cabo de Santo Agostinho,Cabo de Santo Agostinho,RMR,2602902,6,-8.2692,-35.0859,BRASIL/PERNAMBUCO/Cabo de Santo Agostinho
Cabrobó,Cabrobó,SERTÃO DO SÃO FRANCISCO,2603009,12,-8.3865,-39.3294,BRASIL/PERNAMBUCO/Cabrobó
Camutanga,Camutanga,MATA NORTE,2603603,4,-7.4339,-35.2992,BRASIL/PERNAMBUCO/Camutanga
Carpina,Carpina,MATA NORTE,2604007,4,-7.8195,-35.3059,BRASIL/PERNAMBUCO/Carpina
Catende,Catende,MATA SUL,2604205,5,-8.6759,-35.7305,BRASIL/PERNAMBUCO/Catende
Chã de Alegria,Chã de Alegria,MATA NORTE,2604403,4,-7.999,-35.2221,BRASIL/PERNAMBUCO/Chã de Alegria
Chã Grande,Chã Grande,MATA SUL,2604502,5,-8.2295,-35.474,BRASIL/PERNAMBUCO/Chã Grande
Condado,Condado,MATA NORTE,2604601,4,-7.5963,-35.0987,BRASIL/PERNAMBUCO/Condado
Cortês,Cortês,MATA SUL,2604809,5,-8.433,-35.5308,BRASIL/PERNAMBUCO/Cortês
Cumaru,Cumaru,AGRESTE SETENTRIONAL,2604908,3,-8.04,-35.7208,BRASIL/PERNAMBUCO/Cumaru
Custódia,Custódia,SERTÃO DO MOXOTÓ,2605103,10,-8.1738,-37.6816,BRASIL/PERNAMBUCO/Custódia
Escada,Escada,MATA SUL,2605202,5,-8.3698,-35.2645,BRASIL/PERNAMBUCO/Escada
Feira Nova,Feira Nova,AGRESTE SETENTRIONAL,2605400,3,-7.9529,-35.3832,BRASIL/PERNAMBUCO/Feira Nova
Ferreiros,Ferreiros,MATA NORTE,2605509,4,-7.4785,-35.2446,BRASIL/PERNAMBUCO/Ferreiros
Floresta,Floresta,SERTÃO DE ITAPARICA,2605707,8,-8.5666,-38.3058,BRASIL/PERNAMBUCO/Floresta
Frei Miguelinho,Frei Miguelinho,AGRESTE SETENTRIONAL,2605806,3,-7.9351,-35.885,BRASIL/PERNAMBUCO/Frei Miguelinho
Gameleira,Gameleira,MATA SUL,2605905,5,-8.6129,-35.3926,BRASIL/PERNAMBUCO/Gameleira
Glória do Goitá,Glória do Goitá,MATA NORTE,2606101,4,-8.0125,-35.3384,BRASIL/PERNAMBUCO/Glória do Goitá
Goiana,Goiana,RMR,2606200,6,-7.5969,-34.9425,BRASIL/PERNAMBUCO/Goiana
