col1,col2,col3,col4,col5,col6,col7,col8
2012,Abreu e Lima,2600054,NORMAL,PESCA,,,"R$ 99929,50"
2013,Abreu e Lima,2600054,NORMAL,PESCA,118,118,"R$ 89519,72"
2014,Abreu e Lima,2600054,NORMAL,PESCA,168,162,"R$ 117934,40"
2015,Abreu e Lima,2600054,NORMAL,PESCA,170,170,"R$ 122260,44"
2016,Abreu e Lima,2600054,NORMAL,PESCA,129,129,"R$ 95276,64"
2017,Abreu e Lima,2600054,NORMAL,PESCA,111,111,"R$ 78786,24"
2018,Abreu e Lima,2600054,NORMAL,PESCA,101,101,"R$ 81076,00"
2019,Abreu e Lima,2600054,NORMAL,PESCA,78,77,"R$ 59801,60"
2020,Abreu e Lima,2600054,NORMAL,PESCA,78,77,"R$ 56226,00"
2021,Abreu e Lima,2600054,NORMAL,PESCA,78,77,"R$ 58036,40"
2012,Afogados da Ingazeira,2600104,NORMAL,PESCA,,,"R$ 9486,00"
2013,Afogados da Ingazeira,2600104,NORMAL,PESCA,17,17,"R$ 12888,08"
2014,Afogados da Ingazeira,2600104,NORMAL,PESCA,30,28,"R$ 19155,36"
2015,Afogados da Ingazeira,2600104,NORMAL,PESCA,54,54,"R$ 35091,24"
2016,Afogados da Ingazeira,2600104,NORMAL,PESCA,11,6,"R$ 3420,32"
2017,Afogados da Ingazeira,2600104,NORMAL,PESCA,7,7,"R$ 4468,32"
2018,Afogados da Ingazeira,2600104,NORMAL,PESCA,6,5,"R$ 3490,40"
2019,Afogados da Ingazeira,2600104,NORMAL,PESCA,6,1,"R$ 603,60"
2020,Afogados da Ingazeira,2600104,NORMAL,PESCA,6,1,"R$ 603,60"
2021,Afogados da Ingazeira,2600104,NORMAL,PESCA,6,1,"R$ 603,60"
2013,Afrânio,2600203,NORMAL,FRUTA,1,0,"R$ 0,00"
2012,Afrânio,2600203,NORMAL,PESCA,,,"R$ 27748,00"
2013,Afrânio,2600203,NORMAL,PESCA,78,77,"R$ 55140,36"
2014,Afrânio,2600203,NORMAL,PESCA,74,73,"R$ 50765,92"
2015,Afrânio,2600203,NORMAL,PESCA,79,79,"R$ 55845,56"
2017,Afrânio,2600203,NORMAL,PESCA,1,1,"R$ 1026,08"
2018,Afrânio,2600203,NORMAL,PESCA,1,1,"R$ 1127,60"
2013,Água Preta,2600401,NORMAL,CANA,999,980,"R$ 875346,35"
2014,Água Preta,2600401,NORMAL,CANA,1236,1214,"R$ 1081524,15"
2015,Água Preta,2600401,NORMAL,CANA,1071,1070,"R$ 940968,25"
2016,Água Preta,2600401,NORMAL,CANA,1027,1026,"R$ 921379,00"
2017,Água Preta,2600401,NORMAL,CANA,1013,1013,"R$ 921691,80"
2018,Água Preta,2600401,NORMAL,CANA,866,835,"R$ 809904,20"
2019,Água Preta,2600401,NORMAL,CANA,783,706,"R$ 755813,60"
2020,Água Preta,2600401,NORMAL,CANA,783,703,"R$ 755813,60"
2021,Água Preta,2600401,NORMAL,CANA,783,696,"R$ 743125,60"
2012,Águas Belas,2600500,NORMAL,PESCA,,,"R$ 21626,50"
2013,Águas Belas,2600500,NORMAL,PESCA,57,50,"R$ 30483,64"
2014,Águas Belas,2600500,NORMAL,PESCA,58,55,"R$ 35698,24"
2015,Águas Belas,2600500,NORMAL,PESCA,72,71,"R$ 47775,20"
2016,Águas Belas,2600500,NORMAL,PESCA,45,45,"R$ 27799,84"
2017,Águas Belas,2600500,NORMAL,PESCA,33,33,"R$ 20383,04"
2018,Águas Belas,2600500,NORMAL,PESCA,25,25,"R$ 14432,40"
2019,Águas Belas,2600500,NORMAL,PESCA,39,23,"R$ 14636,40"
2020,Águas Belas,2600500,NORMAL,PESCA,39,29,"R$ 18035,20"
2021,Águas Belas,2600500,NORMAL,PESCA,39,25,"R$ 13996,80"
2013,Aliança,2600708,NORMAL,CANA,1350,1323,"R$ 1136734,65"
2014,Aliança,2600708,NORMAL,CANA,1275,1260,"R$ 1046648,25"
2015,Aliança,2600708,NORMAL,CANA,1342,1339,"R$ 1124952,90"
2016,Aliança,2600708,NORMAL,CANA,1542,1539,"R$ 1332925,20"
2017,Aliança,2600708,NORMAL,CANA,1416,1415,"R$ 1227446,20"
2018,Aliança,2600708,NORMAL,CANA,1352,1347,"R$ 1296489,20"
2019,Aliança,2600708,NORMAL,CANA,1361,1082,"R$ 1147176,50"
2020,Aliança,2600708,NORMAL,CANA,1361,1083,"R$ 1147176,50"
2021,Aliança,2600708,NORMAL,CANA,1361,1064,"R$ 1113390,80"
2013,Amaraji,2600906,NORMAL,CANA,863,851,"R$ 747331,05"
2014,Amaraji,2600906,NORMAL,CANA,1112,963,"R$ 850965,45"
2015,Amaraji,2600906,NORMAL,CANA,1024,1017,"R$ 846459,90"
2016,Amaraji,2600906,NORMAL,CANA,1245,1158,"R$ 981589,40"
2017,Amaraji,2600906,NORMAL,CANA,1233,1231,"R$ 1059379,80"
2018,Amaraji,2600906,NORMAL,CANA,1582,1113,"R$ 1223387,90"
2019,Amaraji,2600906,NORMAL,CANA,1125,862,"R$ 910932,00"
2020,Amaraji,2600906,NORMAL,CANA,1125,859,"R$ 910932,00"
2021,Amaraji,2600906,NORMAL,CANA,1125,853,"R$ 891981,20"
2013,Araçoiaba,2601052,NORMAL,CANA,621,606,"R$ 511483,40"
2014,Araçoiaba,2601052,NORMAL,CANA,612,594,"R$ 490461,80"
2015,Araçoiaba,2601052,NORMAL,CANA,596,595,"R$ 481276,80"
2016,Araçoiaba,2601052,NORMAL,CANA,737,737,"R$ 632278,80"
2017,Araçoiaba,2601052,NORMAL,CANA,858,858,"R$ 736573,00"
2018,Araçoiaba,2601052,NORMAL,CANA,924,893,"R$ 843916,70"
2019,Araçoiaba,2601052,NORMAL,CANA,990,937,"R$ 983946,00"
2020,Araçoiaba,2601052,NORMAL,CANA,990,940,"R$ 983946,00"
2021,Araçoiaba,2601052,NORMAL,CANA,990,923,"R$ 973070,80"
2013,Araripina,2601102,NORMAL,PESCA,21,21,"R$ 13973,48"
2014,Araripina,2601102,NORMAL,PESCA,25,22,"R$ 15729,12"
2015,Araripina,2601102,NORMAL,PESCA,22,22,"R$ 16298,12"
2016,Araripina,2601102,NORMAL,PESCA,11,11,"R$ 6904,32"
2017,Araripina,2601102,NORMAL,PESCA,16,16,"R$ 12034,72"
2018,Araripina,2601102,NORMAL,PESCA,12,12,"R$ 8744,80"
2013,Barra de Guabiraba,2601300,NORMAL,CANA,237,233,"R$ 187260,95"
2014,Barra de Guabiraba,2601300,NORMAL,CANA,215,212,"R$ 171159,60"
2015,Barra de Guabiraba,2601300,NORMAL,CANA,194,194,"R$ 155603,80"
2016,Barra de Guabiraba,2601300,NORMAL,CANA,170,170,"R$ 145605,60"
2017,Barra de Guabiraba,2601300,NORMAL,CANA,120,120,"R$ 100101,80"
2018,Barra de Guabiraba,2601300,NORMAL,CANA,116,116,"R$ 102537,60"
2019,Barra de Guabiraba,2601300,NORMAL,CANA,106,103,"R$ 108764,00"
2020,Barra de Guabiraba,2601300,NORMAL,CANA,106,102,"R$ 108764,00"
2021,Barra de Guabiraba,2601300,NORMAL,CANA,106,101,"R$ 105776,00"
2013,Barreiros,2601409,NORMAL,CANA,1342,1301,"R$ 1098582,85"
2014,Barreiros,2601409,NORMAL,CANA,1276,1244,"R$ 1046102,75"
2015,Barreiros,2601409,NORMAL,CANA,1266,1264,"R$ 1076051,05"
2016,Barreiros,2601409,NORMAL,CANA,1170,1167,"R$ 1020403,20"
2017,Barreiros,2601409,NORMAL,CANA,1141,1140,"R$ 994167,40"
2018,Barreiros,2601409,NORMAL,CANA,945,898,"R$ 878668,90"
2019,Barreiros,2601409,NORMAL,CANA,1000,956,"R$ 981975,20"
2020,Barreiros,2601409,NORMAL,CANA,1000,959,"R$ 981975,20"
2021,Barreiros,2601409,NORMAL,CANA,1000,947,"R$ 975414,80"
2012,Barreiros,2601409,NORMAL,PESCA,,,"R$ 105550,50"
2013,Barreiros,2601409,NORMAL,PESCA,68,67,"R$ 55826,96"
2014,Barreiros,2601409,NORMAL,PESCA,125,123,"R$ 92778,40"
2015,Barreiros,2601409,NORMAL,PESCA,151,151,"R$ 107854,08"
2016,Barreiros,2601409,NORMAL,PESCA,118,103,"R$ 78240,80"
2017,Barreiros,2601409,NORMAL,PESCA,94,94,"R$ 67187,20"
2018,Barreiros,2601409,NORMAL,PESCA,100,100,"R$ 84597,60"
2019,Barreiros,2601409,NORMAL,PESCA,80,46,"R$ 37519,60"
2020,Barreiros,2601409,NORMAL,PESCA,80,55,"R$ 42329,20"
2021,Barreiros,2601409,NORMAL,PESCA,80,52,"R$ 39506,40"
2013,Belém de Maria,2601508,NORMAL,CANA,83,79,"R$ 58361,45"
2014,Belém de Maria,2601508,NORMAL,CANA,77,76,"R$ 58636,00"
2015,Belém de Maria,2601508,NORMAL,CANA,83,83,"R$ 64974,30"
2016,Belém de Maria,2601508,NORMAL,CANA,89,89,"R$ 73239,40"
2017,Belém de Maria,2601508,NORMAL,CANA,102,101,"R$ 79041,20"
2018,Belém de Maria,2601508,NORMAL,CANA,85,85,"R$ 70986,40"
2019,Belém de Maria,2601508,NORMAL,CANA,45,39,"R$ 40155,60"
2020,Belém de Maria,2601508,NORMAL,CANA,45,39,"R$ 40155,60"
2021,Belém de Maria,2601508,NORMAL,CANA,45,39,"R$ 38351,60"
2013,Belém de São Francisco,"",NORMAL,FRUTA,63,61,"R$ 48964,65"
2014,Belém de São Francisco,"",NORMAL,FRUTA,146,137,"R$ 88045,45"
2015,Belém de São Francisco,"",NORMAL,FRUTA,111,110,"R$ 80805,50"
2016,Belém de São Francisco,"",NORMAL,FRUTA,125,121,"R$ 86580,20"
